game_id,var,value
ANA200105190,usedh,TRUE
ANA200105190,umphome,demud901
ANA200105190,ump1b,relic901
ANA200105190,ump2b,danlk901
ANA200105190,ump3b,gibsg901
ANA200105190,howscored,park
ANA200105190,pitches,pitches
ANA200105190,oscorer,munse701
ANA200105190,temp,65
ANA200105190,winddir,ltor
ANA200105190,windspeed,3
ANA200105190,fieldcond,unknown
ANA200105190,precip,unknown
ANA200105190,sky,sunny
ANA200105190,timeofgame,232
ANA200105190,attendance,40019
ANA200105190,wp,shuep001
ANA200105190,lp,perct001
ANA200105190,save,wickb001
ANA200105190,hometeam_score,3
ANA200105190,awayteam_score,4
ANA200105200,visteam,CLE
ANA200105200,hometeam,ANA
ANA200105200,site,ANA01
ANA200105200,date,5/20/01
ANA200105200,number,0
ANA200105200,starttime,5:08PM
ANA200105200,daynight,night
ANA200105200,usedh,TRUE
ANA200105200,umphome,relic901
ANA200105200,ump1b,danlk901
ANA200105200,ump2b,gibsg901
ANA200105200,ump3b,demud901
ANA200105200,howscored,park
ANA200105200,pitches,pitches
ANA200105200,oscorer,munse701
ANA200105200,temp,72
ANA200105200,winddir,ltor
ANA200105200,windspeed,3
ANA200105200,fieldcond,unknown
ANA200105200,precip,unknown
ANA200105200,sky,sunny
ANA200105200,timeofgame,212
ANA200105200,attendance,36339
ANA200105200,wp,levia001
ANA200105200,lp,rodrr004
ANA200105200,save,perct001
ANA200105200,hometeam_score,9
ANA200105200,awayteam_score,6
ANA200105290,visteam,MIN
ANA200105290,hometeam,ANA
ANA200105290,site,ANA01
ANA200105290,date,5/29/01
ANA200105290,number,0
ANA200105290,starttime,7:06PM
ANA200105290,daynight,night
ANA200105290,usedh,TRUE
ANA200105290,umphome,riekr901
ANA200105290,ump1b,carlm901
ANA200105290,ump2b,tscht901
ANA200105290,ump3b,davig901
ANA200105290,howscored,park
ANA200105290,pitches,pitches
ANA200105290,oscorer,munse701
ANA200105290,temp,70
ANA200105290,winddir,ltor
ANA200105290,windspeed,4
ANA200105290,fieldcond,unknown
ANA200105290,precip,unknown
ANA200105290,sky,sunny
ANA200105290,timeofgame,257
ANA200105290,attendance,14975
ANA200105290,wp,cresj001
ANA200105290,lp,levia001
ANA200105290,save,carrh001
ANA200105290,hometeam_score,4
ANA200105290,awayteam_score,6
ANA200105300,visteam,MIN
ANA200105300,hometeam,ANA
ANA200105300,site,ANA01
ANA200105300,date,5/30/01
ANA200105300,number,0
ANA200105300,starttime,7:06PM
ANA200105300,daynight,night
ANA200105300,usedh,TRUE
ANA200105300,umphome,carlm901
ANA200105300,ump1b,tscht901
ANA200105300,ump2b,davig901
ANA200105300,ump3b,riekr901
ANA200105300,howscored,park
ANA200105300,pitches,pitches
ANA200105300,oscorer,munse701
ANA200105300,temp,70
ANA200105300,winddir,ltor
ANA200105300,windspeed,3
ANA200105300,fieldcond,unknown
ANA200105300,precip,unknown
ANA200105300,sky,sunny
ANA200105300,timeofgame,153
ANA200105300,attendance,14913
ANA200105300,wp,maysj001
ANA200105300,lp,rappp001
ANA200105300,save,
ANA200105300,hometeam_score,0
ANA200105300,awayteam_score,3
ANA200105310,visteam,MIN
ANA200105310,hometeam,ANA
ANA200105310,site,ANA01
ANA200105310,date,5/31/01
ANA200105310,number,0
ANA200105310,starttime,7:06PM
ANA200105310,daynight,night
ANA200105310,usedh,TRUE
ANA200105310,umphome,tscht901
ANA200105310,ump1b,davig901
ANA200105310,ump2b,riekr901
ANA200105310,ump3b,carlm901
ANA200105310,howscored,park
